,leadtime,NAO+,NAO-,SB,AR,weighted mean
0,0,0.8394160583941606,1.0,0.7823834196891192,0.8133971291866029,0.8475609756097561
0,1,0.8314606741573034,0.9932885906040269,0.7638190954773869,0.8195121951219512,0.8414634146341463
0,2,0.76,0.9794520547945206,0.6884422110552764,0.765,0.7829268292682927
0,3,0.7527272727272727,0.96,0.6192893401015228,0.7626262626262627,0.7609756097560976
0,4,0.7416974169741697,0.9507042253521126,0.583756345177665,0.7095238095238096,0.7317073170731707
0,5,0.7047970479704797,0.8943661971830986,0.5663265306122449,0.6824644549763034,0.698780487804878
0,6,0.6791044776119403,0.8472222222222222,0.5255102040816326,0.6367924528301887,0.6609756097560976
0,7,0.6606498194945848,0.8169014084507042,0.5025380710659898,0.5833333333333334,0.6304878048780488
0,8,0.6479400749063671,0.7847222222222222,0.3793103448275862,0.5339805825242718,0.5768292682926829
0,9,0.6131386861313869,0.7517241379310344,0.37373737373737376,0.5024630541871922,0.5524390243902438
0,10,0.6203007518796992,0.7086092715231788,0.35960591133004927,0.47,0.5353658536585366
0,11,0.6090225563909775,0.696551724137931,0.30049261083743845,0.4223300970873786,0.501219512195122
0,12,0.5777777777777777,0.6575342465753424,0.23737373737373738,0.4223300970873786,0.47073170731707314
0,13,0.575187969924812,0.6758620689655173,0.2153846153846154,0.397196261682243,0.4609756097560975
0,14,0.5328467153284672,0.6666666666666666,0.20304568527918782,0.3557692307692308,0.43170731707317067
0,15,0.5111111111111111,0.6713286713286714,0.195,0.2995169082125604,0.4085365853658537
0,16,0.5182481751824818,0.6164383561643836,0.17010309278350516,0.33980582524271846,0.40853658536585363
0,17,0.5424354243542435,0.5743243243243243,0.1919191919191919,0.33497536945812806,0.4121951219512195
0,18,0.5430711610486891,0.5902777777777778,0.1477832512315271,0.2669902912621359,0.3841463414634146
0,19,0.5201465201465202,0.6027397260273972,0.1065989847715736,0.25980392156862747,0.37073170731707317
0,20,0.5111940298507462,0.6241610738255033,0.08762886597938144,0.24880382775119617,0.36463414634146346
0,21,0.5090252707581228,0.6206896551724138,0.09230769230769231,0.2315270935960591,0.36097560975609755
0,22,0.4562043795620438,0.6111111111111112,0.116751269035533,0.22439024390243903,0.34390243902439027
0,23,0.4714285714285714,0.5886524822695035,0.1134020618556701,0.2048780487804878,0.3402439024390244
0,24,0.45054945054945056,0.5704225352112676,0.11442786069651742,0.20098039215686275,0.32682926829268294
0,25,0.45692883895131087,0.5,0.12871287128712872,0.2,0.3195121951219512
0,26,0.5074074074074074,0.5616438356164384,0.12060301507537688,0.22439024390243903,0.35243902439024394
0,27,0.4679245283018868,0.5405405405405406,0.145,0.19806763285024154,0.3341463414634146
0,28,0.48727272727272725,0.5144927536231884,0.14705882352941177,0.1921182266009852,0.3341463414634146
0,29,0.46691176470588236,0.5071428571428571,0.1188118811881188,0.17475728155339806,0.3146341463414634
0,30,0.4981949458483754,0.4647887323943662,0.13471502590673576,0.16826923076923078,0.3231707317073171
0,31,0.47601476014760147,0.4444444444444444,0.12690355329949238,0.15865384615384615,0.30609756097560975
0,32,0.5018867924528302,0.40397350993377484,0.15306122448979592,0.18269230769230768,0.31951219512195117
0,33,0.45353159851301117,0.4,0.12060301507537688,0.18840579710144928,0.29634146341463413
0,34,0.45724907063197023,0.410958904109589,0.11616161616161616,0.17391304347826086,0.2951219512195122
0,35,0.42700729927007297,0.4057971014492754,0.10344827586206896,0.17073170731707318,0.2792682926829268
0,36,0.4218181818181818,0.4236111111111111,0.14358974358974358,0.17475728155339806,0.2939024390243902
0,37,0.4509090909090909,0.41134751773049644,0.12562814070351758,0.2,0.30243902439024384
0,38,0.4548872180451128,0.4233576642335766,0.1164021164021164,0.16666666666666666,0.29620253164556964
0,39,0.43873517786561267,0.4125874125874126,0.10382513661202186,0.155,0.28241335044929394
0,40,0.4626865671641791,0.4068965517241379,0.09090909090909091,0.1722488038277512,0.2890243902439024
